Timestamp,Bren Hall HVAC Elec Meter hvac elec power
2023-03-01T10:00:00-08:00 Los_Angeles,24.32100009918213kW
2023-03-01T11:00:00-08:00 Los_Angeles,24.399166107177734kW
2023-03-01T12:00:00-08:00 Los_Angeles,24.723000049591064kW
2023-03-01T13:00:00-08:00 Los_Angeles,24.499666690826416kW
2023-03-01T14:00:00-08:00 Los_Angeles,24.54433298110962kW
2023-03-01T15:00:00-08:00 Los_Angeles,24.34333372116089kW
2023-03-01T16:00:00-08:00 Los_Angeles,24.700666427612305kW
2023-03-01T17:00:00-08:00 Los_Angeles,24.522000312805176kW
2023-03-01T18:00:00-08:00 Los_Angeles,24.28749990463257kW
2023-03-01T19:00:00-08:00 Los_Angeles,23.327166080474854kW
2023-03-01T20:00:00-08:00 Los_Angeles,23.617499828338623kW
2023-03-01T21:00:00-08:00 Los_Angeles,23.673333168029785kW
2023-03-01T22:00:00-08:00 Los_Angeles,13.23622194925944kW
2023-03-01T23:00:00-08:00 Los_Angeles,0kW
2023-03-02T00:00:00-08:00 Los_Angeles,0kW
2023-03-02T01:00:00-08:00 Los_Angeles,0kW
2023-03-02T02:00:00-08:00 Los_Angeles,0kW
2023-03-02T03:00:00-08:00 Los_Angeles,0kW
2023-03-02T04:00:00-08:00 Los_Angeles,0kW
2023-03-02T05:00:00-08:00 Los_Angeles,0kW
2023-03-02T06:00:00-08:00 Los_Angeles,0kW
2023-03-02T07:00:00-08:00 Los_Angeles,19.329499796032906kW
2023-03-02T08:00:00-08:00 Los_Angeles,24.276333332061768kW
2023-03-02T09:00:00-08:00 Los_Angeles,24.220499515533447kW
2023-03-02T10:00:00-08:00 Los_Angeles,23.874332427978516kW
2023-03-02T11:00:00-08:00 Los_Angeles,24.03066635131836kW
2023-03-02T12:00:00-08:00 Los_Angeles,24.198165893554688kW
2023-03-02T13:00:00-08:00 Los_Angeles,24.07533311843872kW
2023-03-02T14:00:00-08:00 Los_Angeles,24.07533311843872kW
2023-03-02T15:00:00-08:00 Los_Angeles,24.01949977874756kW
2023-03-02T16:00:00-08:00 Los_Angeles,24.30983304977417kW
2023-03-02T17:00:00-08:00 Los_Angeles,24.990999221801758kW
2023-03-02T18:00:00-08:00 Los_Angeles,24.711833000183105kW
2023-03-02T19:00:00-08:00 Los_Angeles,23.126166343688965kW
2023-03-02T20:00:00-08:00 Los_Angeles,23.919000148773193kW
2023-03-02T21:00:00-08:00 Los_Angeles,24.175832748413086kW
2023-03-02T22:00:00-08:00 Los_Angeles,18.089999198913574kW
2023-03-02T23:00:00-08:00 Los_Angeles,0kW
2023-03-03T00:00:00-08:00 Los_Angeles,0kW
2023-03-03T01:00:00-08:00 Los_Angeles,0kW
2023-03-03T02:00:00-08:00 Los_Angeles,0kW
2023-03-03T03:00:00-08:00 Los_Angeles,0kW
2023-03-03T04:00:00-08:00 Los_Angeles,0kW
2023-03-03T05:00:00-08:00 Los_Angeles,0kW
2023-03-03T06:00:00-08:00 Los_Angeles,0kW
2023-03-03T07:00:00-08:00 Los_Angeles,17.59866636991501kW
2023-03-03T08:00:00-08:00 Los_Angeles,24.421499729156494kW
2023-03-03T09:00:00-08:00 Los_Angeles,24.26516628265381kW
2023-03-03T10:00:00-08:00 Los_Angeles,24.153499603271484kW
2023-03-03T11:00:00-08:00 Los_Angeles,24.27633285522461kW
2023-03-03T12:00:00-08:00 Los_Angeles,24.153499603271484kW
2023-03-03T13:00:00-08:00 Los_Angeles,24.912832736968994kW
2023-03-03T14:00:00-08:00 Los_Angeles,24.890499114990234kW
2023-03-03T15:00:00-08:00 Los_Angeles,25.180832862854004kW
2023-03-03T16:00:00-08:00 Los_Angeles,25.59399938583374kW
2023-03-03T17:00:00-08:00 Los_Angeles,25.917832851409912kW
2023-03-03T18:00:00-08:00 Los_Angeles,25.30366611480713kW
2023-03-03T19:00:00-08:00 Los_Angeles,23.46116590499878kW
2023-03-03T20:00:00-08:00 Los_Angeles,24.06416654586792kW
2023-03-03T21:00:00-08:00 Los_Angeles,24.108832836151123kW
2023-03-03T22:00:00-08:00 Los_Angeles,18.52549970149994kW
2023-03-03T23:00:00-08:00 Los_Angeles,0kW
2023-03-04T00:00:00-08:00 Los_Angeles,0kW
2023-03-04T01:00:00-08:00 Los_Angeles,0kW
2023-03-04T02:00:00-08:00 Los_Angeles,0kW
2023-03-04T03:00:00-08:00 Los_Angeles,0kW
2023-03-04T04:00:00-08:00 Los_Angeles,0kW
2023-03-04T05:00:00-08:00 Los_Angeles,0kW
2023-03-04T06:00:00-08:00 Los_Angeles,0kW
2023-03-04T07:00:00-08:00 Los_Angeles,11.579833269119263kW
2023-03-04T08:00:00-08:00 Los_Angeles,13.958333492279053kW
2023-03-04T09:00:00-08:00 Los_Angeles,13.668000221252441kW
2023-03-04T10:00:00-08:00 Los_Angeles,13.757333040237427kW
2023-03-04T11:00:00-08:00 Los_Angeles,13.85783314704895kW
2023-03-04T12:00:00-08:00 Los_Angeles,13.690333366394043kW
2023-03-04T13:00:00-08:00 Los_Angeles,13.958333253860474kW
2023-03-04T14:00:00-08:00 Los_Angeles,13.802000045776367kW
2023-03-04T15:00:00-08:00 Los_Angeles,13.969500064849854kW
2023-03-04T16:00:00-08:00 Los_Angeles,13.857833623886108kW
2023-03-04T17:00:00-08:00 Los_Angeles,1.1613333225250244kW
2023-03-04T18:00:00-08:00 Los_Angeles,0kW
2023-03-04T19:00:00-08:00 Los_Angeles,0kW
2023-03-04T20:00:00-08:00 Los_Angeles,0kW
2023-03-04T21:00:00-08:00 Los_Angeles,0kW
2023-03-04T22:00:00-08:00 Los_Angeles,0kW
2023-03-04T23:00:00-08:00 Los_Angeles,0kW
2023-03-05T00:00:00-08:00 Los_Angeles,0kW
2023-03-05T01:00:00-08:00 Los_Angeles,0.35733333230018616kW
2023-03-05T02:00:00-08:00 Los_Angeles,0kW
2023-03-05T03:00:00-08:00 Los_Angeles,0kW
2023-03-05T04:00:00-08:00 Los_Angeles,0kW
2023-03-05T05:00:00-08:00 Los_Angeles,0kW
2023-03-05T06:00:00-08:00 Los_Angeles,0kW
2023-03-05T07:00:00-08:00 Los_Angeles,0kW
2023-03-05T08:00:00-08:00 Los_Angeles,0kW
2023-03-05T09:00:00-08:00 Los_Angeles,0kW
2023-03-05T10:00:00-08:00 Los_Angeles,0kW
2023-03-05T11:00:00-08:00 Los_Angeles,0kW
2023-03-05T12:00:00-08:00 Los_Angeles,2.9480000138282776kW
2023-03-05T13:00:00-08:00 Los_Angeles,0kW
2023-03-05T14:00:00-08:00 Los_Angeles,0kW
2023-03-05T15:00:00-08:00 Los_Angeles,0.2903333306312561kW
2023-03-05T16:00:00-08:00 Los_Angeles,0kW
2023-03-05T17:00:00-08:00 Los_Angeles,2.0323333740234375kW
2023-03-05T18:00:00-08:00 Los_Angeles,0kW
2023-03-05T19:00:00-08:00 Los_Angeles,0kW
2023-03-05T20:00:00-08:00 Los_Angeles,0kW
2023-03-05T21:00:00-08:00 Los_Angeles,0kW
2023-03-05T22:00:00-08:00 Los_Angeles,0kW
2023-03-05T23:00:00-08:00 Los_Angeles,0kW
2023-03-06T00:00:00-08:00 Los_Angeles,0kW
2023-03-06T01:00:00-08:00 Los_Angeles,0kW
2023-03-06T02:00:00-08:00 Los_Angeles,0kW
2023-03-06T03:00:00-08:00 Los_Angeles,0kW
2023-03-06T04:00:00-08:00 Los_Angeles,0kW
2023-03-06T05:00:00-08:00 Los_Angeles,0kW
2023-03-06T06:00:00-08:00 Los_Angeles,0kW
2023-03-06T07:00:00-08:00 Los_Angeles,18.268666744232178kW
2023-03-06T08:00:00-08:00 Los_Angeles,24.410333156585693kW
2023-03-06T09:00:00-08:00 Los_Angeles,24.376832485198975kW
2023-03-06T10:00:00-08:00 Los_Angeles,23.851999282836914kW
2023-03-06T11:00:00-08:00 Los_Angeles,23.974833011627197kW
2023-03-06T12:00:00-08:00 Los_Angeles,24.175833225250244kW
2023-03-06T13:00:00-08:00 Los_Angeles,24.131166458129883kW
2023-03-06T14:00:00-08:00 Los_Angeles,24.119999885559082kW
2023-03-06T15:00:00-08:00 Los_Angeles,24.119999885559082kW
2023-03-06T16:00:00-08:00 Los_Angeles,24.075332641601562kW
2023-03-06T17:00:00-08:00 Los_Angeles,24.186999797821045kW
2023-03-06T18:00:00-08:00 Los_Angeles,24.164666175842285kW
2023-03-06T19:00:00-08:00 Los_Angeles,""
2023-03-06T20:00:00-08:00 Los_Angeles,""
2023-03-06T21:00:00-08:00 Los_Angeles,""
2023-03-06T22:00:00-08:00 Los_Angeles,""
2023-03-06T23:00:00-08:00 Los_Angeles,""
2023-03-07T00:00:00-08:00 Los_Angeles,""
2023-03-07T01:00:00-08:00 Los_Angeles,""
2023-03-07T02:00:00-08:00 Los_Angeles,""
2023-03-07T03:00:00-08:00 Los_Angeles,""
2023-03-07T04:00:00-08:00 Los_Angeles,""
2023-03-07T05:00:00-08:00 Los_Angeles,""
2023-03-07T06:00:00-08:00 Los_Angeles,""
2023-03-07T07:00:00-08:00 Los_Angeles,""
2023-03-07T08:00:00-08:00 Los_Angeles,""
2023-03-07T09:00:00-08:00 Los_Angeles,""
2023-03-07T10:00:00-08:00 Los_Angeles,24.03066635131836kW
2023-03-07T11:00:00-08:00 Los_Angeles,24.186999797821045kW
2023-03-07T12:00:00-08:00 Los_Angeles,24.34333324432373kW
2023-03-07T13:00:00-08:00 Los_Angeles,24.53316593170166kW
2023-03-07T14:00:00-08:00 Los_Angeles,24.320999145507812kW
2023-03-07T15:00:00-08:00 Los_Angeles,24.253999710083008kW
2023-03-07T16:00:00-08:00 Los_Angeles,24.57783269882202kW
2023-03-07T17:00:00-08:00 Los_Angeles,24.923999309539795kW
2023-03-07T18:00:00-08:00 Los_Angeles,24.421499252319336kW
2023-03-07T19:00:00-08:00 Los_Angeles,23.371833324432373kW
2023-03-07T20:00:00-08:00 Los_Angeles,23.740333080291748kW
2023-03-07T21:00:00-08:00 Los_Angeles,23.863166332244873kW
2023-03-07T22:00:00-08:00 Los_Angeles,15.867832899093628kW
2023-03-07T23:00:00-08:00 Los_Angeles,0kW
2023-03-08T00:00:00-08:00 Los_Angeles,0kW
2023-03-08T01:00:00-08:00 Los_Angeles,0kW
2023-03-08T02:00:00-08:00 Los_Angeles,0kW
2023-03-08T03:00:00-08:00 Los_Angeles,0kW
2023-03-08T04:00:00-08:00 Los_Angeles,0kW
2023-03-08T05:00:00-08:00 Los_Angeles,0kW
2023-03-08T06:00:00-08:00 Los_Angeles,0kW
2023-03-08T07:00:00-08:00 Los_Angeles,18.525500178337097kW
2023-03-08T08:00:00-08:00 Los_Angeles,24.466166973114014kW
2023-03-08T09:00:00-08:00 Los_Angeles,24.231666088104248kW
2023-03-08T10:00:00-08:00 Los_Angeles,24.142333030700684kW
2023-03-08T11:00:00-08:00 Los_Angeles,24.097665786743164kW
2023-03-08T12:00:00-08:00 Los_Angeles,24.25399923324585kW
2023-03-08T13:00:00-08:00 Los_Angeles,24.443832874298096kW
2023-03-08T14:00:00-08:00 Los_Angeles,24.60016679763794kW
2023-03-08T15:00:00-08:00 Los_Angeles,24.399166107177734kW
2023-03-08T16:00:00-08:00 Los_Angeles,24.778833389282227kW
2023-03-08T17:00:00-08:00 Los_Angeles,""
2023-03-08T18:00:00-08:00 Los_Angeles,24.745333671569824kW
2023-03-08T19:00:00-08:00 Los_Angeles,23.215499877929688kW
2023-03-08T20:00:00-08:00 Los_Angeles,23.61750030517578kW
2023-03-08T21:00:00-08:00 Los_Angeles,23.918999671936035kW
2023-03-08T22:00:00-08:00 Los_Angeles,15.934833288192749kW
2023-03-08T23:00:00-08:00 Los_Angeles,0kW
2023-03-09T00:00:00-08:00 Los_Angeles,0kW
2023-03-09T01:00:00-08:00 Los_Angeles,0kW
2023-03-09T02:00:00-08:00 Los_Angeles,0kW
2023-03-09T03:00:00-08:00 Los_Angeles,0kW
2023-03-09T04:00:00-08:00 Los_Angeles,0kW
2023-03-09T05:00:00-08:00 Los_Angeles,0kW
2023-03-09T06:00:00-08:00 Los_Angeles,0kW
2023-03-09T07:00:00-08:00 Los_Angeles,20.233999967575073kW
2023-03-09T08:00:00-08:00 Los_Angeles,24.61133337020874kW
2023-03-09T09:00:00-08:00 Los_Angeles,24.488499641418457kW
2023-03-09T10:00:00-08:00 Los_Angeles,24.454999923706055kW
2023-03-09T11:00:00-08:00 Los_Angeles,24.365666389465332kW
2023-03-09T12:00:00-08:00 Los_Angeles,24.499666213989258kW
2023-03-09T13:00:00-08:00 Los_Angeles,24.421499729156494kW
2023-03-09T14:00:00-08:00 Los_Angeles,24.466166019439697kW
2023-03-09T15:00:00-08:00 Los_Angeles,24.432666778564453kW
2023-03-09T16:00:00-08:00 Los_Angeles,24.60016632080078kW
2023-03-09T17:00:00-08:00 Los_Angeles,24.856998920440674kW
2023-03-09T18:00:00-08:00 Los_Angeles,24.466166496276855kW
2023-03-09T19:00:00-08:00 Los_Angeles,23.449999809265137kW
2023-03-09T20:00:00-08:00 Los_Angeles,23.80733299255371kW
2023-03-09T21:00:00-08:00 Los_Angeles,24.07533311843872kW
2023-03-09T22:00:00-08:00 Los_Angeles,16.091166019439697kW
2023-03-09T23:00:00-08:00 Los_Angeles,0kW
2023-03-10T00:00:00-08:00 Los_Angeles,0kW
2023-03-10T01:00:00-08:00 Los_Angeles,0kW
2023-03-10T02:00:00-08:00 Los_Angeles,0kW
2023-03-10T03:00:00-08:00 Los_Angeles,0kW
2023-03-10T04:00:00-08:00 Los_Angeles,0kW
2023-03-10T05:00:00-08:00 Los_Angeles,0kW
2023-03-10T06:00:00-08:00 Los_Angeles,0kW
2023-03-10T07:00:00-08:00 Los_Angeles,21.205499827861786kW
2023-03-10T08:00:00-08:00 Los_Angeles,24.667166709899902kW
2023-03-10T09:00:00-08:00 Los_Angeles,24.499666690826416kW
2023-03-10T10:00:00-08:00 Los_Angeles,24.443833351135254kW
2023-03-10T11:00:00-08:00 Los_Angeles,24.432665824890137kW
2023-03-10T12:00:00-08:00 Los_Angeles,24.644833087921143kW
2023-03-10T13:00:00-08:00 Los_Angeles,25.180833339691162kW
2023-03-10T14:00:00-08:00 Los_Angeles,25.03566598892212kW
2023-03-10T15:00:00-08:00 Los_Angeles,25.214332580566406kW
2023-03-10T16:00:00-08:00 Los_Angeles,25.34833335876465kW
2023-03-10T17:00:00-08:00 Los_Angeles,25.1138334274292kW
2023-03-10T18:00:00-08:00 Los_Angeles,25.09149980545044kW
2023-03-10T19:00:00-08:00 Los_Angeles,23.22666645050049kW
2023-03-10T20:00:00-08:00 Los_Angeles,23.550499439239502kW
2023-03-10T21:00:00-08:00 Los_Angeles,23.740333080291748kW
2023-03-10T22:00:00-08:00 Los_Angeles,15.432332992553711kW
2023-03-10T23:00:00-08:00 Los_Angeles,0kW
2023-03-11T00:00:00-08:00 Los_Angeles,0kW
2023-03-11T01:00:00-08:00 Los_Angeles,0kW
2023-03-11T02:00:00-08:00 Los_Angeles,0kW
2023-03-11T03:00:00-08:00 Los_Angeles,0kW
2023-03-11T04:00:00-08:00 Los_Angeles,0kW
2023-03-11T05:00:00-08:00 Los_Angeles,0kW
2023-03-11T06:00:00-08:00 Los_Angeles,0kW
2023-03-11T07:00:00-08:00 Los_Angeles,21.94249975681305kW
2023-03-11T08:00:00-08:00 Los_Angeles,24.421499729156494kW
2023-03-11T09:00:00-08:00 Los_Angeles,24.67833375930786kW
2023-03-11T10:00:00-08:00 Los_Angeles,24.56666612625122kW
2023-03-11T11:00:00-08:00 Los_Angeles,24.499666213989258kW
2023-03-11T12:00:00-08:00 Los_Angeles,24.633666038513184kW
2023-03-11T13:00:00-08:00 Los_Angeles,24.711833000183105kW
2023-03-11T14:00:00-08:00 Los_Angeles,24.83466672897339kW
2023-03-11T15:00:00-08:00 Los_Angeles,24.78999948501587kW
2023-03-11T16:00:00-08:00 Los_Angeles,25.058000087738037kW
2023-03-11T17:00:00-08:00 Los_Angeles,4.265666484832764kW
2023-03-11T18:00:00-08:00 Los_Angeles,0kW
2023-03-11T19:00:00-08:00 Los_Angeles,0kW
2023-03-11T20:00:00-08:00 Los_Angeles,0kW
2023-03-11T21:00:00-08:00 Los_Angeles,0kW
2023-03-11T22:00:00-08:00 Los_Angeles,0kW
2023-03-11T23:00:00-08:00 Los_Angeles,0kW
2023-03-12T00:00:00-08:00 Los_Angeles,0kW
2023-03-12T01:00:00-08:00 Los_Angeles,0kW
2023-03-12T03:00:00-07:00 Los_Angeles,0kW
2023-03-12T04:00:00-07:00 Los_Angeles,0kW
2023-03-12T05:00:00-07:00 Los_Angeles,0kW
2023-03-12T06:00:00-07:00 Los_Angeles,0kW
2023-03-12T07:00:00-07:00 Los_Angeles,0kW
2023-03-12T08:00:00-07:00 Los_Angeles,0kW
2023-03-12T09:00:00-07:00 Los_Angeles,0kW
2023-03-12T10:00:00-07:00 Los_Angeles,0kW
2023-03-12T11:00:00-07:00 Los_Angeles,0kW
2023-03-12T12:00:00-07:00 Los_Angeles,0kW
2023-03-12T13:00:00-07:00 Los_Angeles,0kW
2023-03-12T14:00:00-07:00 Los_Angeles,0kW
2023-03-12T15:00:00-07:00 Los_Angeles,0kW
2023-03-12T16:00:00-07:00 Los_Angeles,2.054666519165039kW
2023-03-12T17:00:00-07:00 Los_Angeles,0kW
2023-03-12T18:00:00-07:00 Los_Angeles,1.3846666812896729kW
2023-03-12T19:00:00-07:00 Los_Angeles,0kW
2023-03-12T20:00:00-07:00 Los_Angeles,0kW
2023-03-12T21:00:00-07:00 Los_Angeles,0kW
2023-03-12T22:00:00-07:00 Los_Angeles,0kW
2023-03-12T23:00:00-07:00 Los_Angeles,0kW
2023-03-13T00:00:00-07:00 Los_Angeles,0kW
2023-03-13T01:00:00-07:00 Los_Angeles,0kW
2023-03-13T02:00:00-07:00 Los_Angeles,0kW
2023-03-13T03:00:00-07:00 Los_Angeles,0kW
2023-03-13T04:00:00-07:00 Los_Angeles,0kW
2023-03-13T05:00:00-07:00 Los_Angeles,0kW
2023-03-13T06:00:00-07:00 Los_Angeles,0kW
2023-03-13T07:00:00-07:00 Los_Angeles,20.803499341011047kW
2023-03-13T08:00:00-07:00 Los_Angeles,24.198166370391846kW
2023-03-13T09:00:00-07:00 Los_Angeles,24.08649969100952kW
2023-03-13T10:00:00-07:00 Los_Angeles,24.198165893554688kW
2023-03-13T11:00:00-07:00 Los_Angeles,24.265166759490967kW
2023-03-13T12:00:00-07:00 Los_Angeles,24.365665912628174kW
2023-03-13T13:00:00-07:00 Los_Angeles,24.454999923706055kW
2023-03-13T14:00:00-07:00 Los_Angeles,24.644833087921143kW
2023-03-13T15:00:00-07:00 Los_Angeles,24.6448335647583kW
2023-03-13T16:00:00-07:00 Los_Angeles,25.471166133880615kW
2023-03-13T17:00:00-07:00 Los_Angeles,26.0853328704834kW
2023-03-13T18:00:00-07:00 Los_Angeles,25.83966588973999kW
2023-03-13T19:00:00-07:00 Los_Angeles,25.716832637786865kW
2023-03-13T20:00:00-07:00 Los_Angeles,23.985999584197998kW
2023-03-13T21:00:00-07:00 Los_Angeles,24.06416606903076kW
2023-03-13T22:00:00-07:00 Los_Angeles,15.990666627883911kW
2023-03-13T23:00:00-07:00 Los_Angeles,0kW
2023-03-14T00:00:00-07:00 Los_Angeles,0kW
2023-03-14T01:00:00-07:00 Los_Angeles,0kW
2023-03-14T02:00:00-07:00 Los_Angeles,0kW
2023-03-14T03:00:00-07:00 Los_Angeles,0kW
2023-03-14T04:00:00-07:00 Los_Angeles,0kW
2023-03-14T05:00:00-07:00 Los_Angeles,0kW
2023-03-14T06:00:00-07:00 Los_Angeles,0kW
2023-03-14T07:00:00-07:00 Los_Angeles,19.262500047683716kW
2023-03-14T08:00:00-07:00 Los_Angeles,23.31599998474121kW
2023-03-14T09:00:00-07:00 Los_Angeles,24.097666263580322kW
2023-03-14T10:00:00-07:00 Los_Angeles,24.387999534606934kW
2023-03-14T11:00:00-07:00 Los_Angeles,24.34333324432373kW
2023-03-14T12:00:00-07:00 Los_Angeles,24.30983304977417kW
2023-03-14T13:00:00-07:00 Los_Angeles,24.510833263397217kW
2023-03-14T14:00:00-07:00 Los_Angeles,24.33216619491577kW
2023-03-14T15:00:00-07:00 Los_Angeles,24.309833526611328kW
2023-03-14T16:00:00-07:00 Los_Angeles,24.37683343887329kW
2023-03-14T17:00:00-07:00 Los_Angeles,24.410333156585693kW
2023-03-14T18:00:00-07:00 Los_Angeles,24.51083278656006kW
2023-03-14T19:00:00-07:00 Los_Angeles,24.365666389465332kW
2023-03-14T20:00:00-07:00 Los_Angeles,22.891666412353516kW
2023-03-14T21:00:00-07:00 Los_Angeles,23.583999633789062kW
2023-03-14T22:00:00-07:00 Los_Angeles,13.857832908630371kW
2023-03-14T23:00:00-07:00 Los_Angeles,0kW
2023-03-15T00:00:00-07:00 Los_Angeles,0kW
2023-03-15T01:00:00-07:00 Los_Angeles,0kW
2023-03-15T02:00:00-07:00 Los_Angeles,0kW
2023-03-15T03:00:00-07:00 Los_Angeles,0kW
2023-03-15T04:00:00-07:00 Los_Angeles,0kW
2023-03-15T05:00:00-07:00 Los_Angeles,0kW
2023-03-15T06:00:00-07:00 Los_Angeles,0kW
2023-03-15T07:00:00-07:00 Los_Angeles,21.07150000333786kW
2023-03-15T08:00:00-07:00 Los_Angeles,22.969833374023438kW
2023-03-15T09:00:00-07:00 Los_Angeles,23.96366596221924kW
2023-03-15T10:00:00-07:00 Los_Angeles,24.06416606903076kW
2023-03-15T11:00:00-07:00 Los_Angeles,24.27633285522461kW
2023-03-15T12:00:00-07:00 Los_Angeles,24.711833000183105kW
2023-03-15T13:00:00-07:00 Los_Angeles,24.700666427612305kW
2023-03-15T14:00:00-07:00 Los_Angeles,24.81233310699463kW
2023-03-15T15:00:00-07:00 Los_Angeles,24.946333408355713kW
2023-03-15T16:00:00-07:00 Los_Angeles,24.879333019256592kW
2023-03-15T17:00:00-07:00 Los_Angeles,24.90166664123535kW
2023-03-15T18:00:00-07:00 Los_Angeles,25.035666465759277kW
2023-03-15T19:00:00-07:00 Los_Angeles,25.270166397094727kW
2023-03-15T20:00:00-07:00 Los_Angeles,23.338332653045654kW
2023-03-15T21:00:00-07:00 Los_Angeles,23.762666702270508kW
2023-03-15T22:00:00-07:00 Los_Angeles,15.92366647720337kW
2023-03-15T23:00:00-07:00 Los_Angeles,0kW
2023-03-16T00:00:00-07:00 Los_Angeles,0kW
2023-03-16T01:00:00-07:00 Los_Angeles,0kW
2023-03-16T02:00:00-07:00 Los_Angeles,0kW
2023-03-16T03:00:00-07:00 Los_Angeles,0kW
2023-03-16T04:00:00-07:00 Los_Angeles,0kW
2023-03-16T05:00:00-07:00 Los_Angeles,0kW
2023-03-16T06:00:00-07:00 Los_Angeles,0kW
2023-03-16T07:00:00-07:00 Los_Angeles,20.20050013065338kW
2023-03-16T08:00:00-07:00 Los_Angeles,22.791166305541992kW
2023-03-16T09:00:00-07:00 Los_Angeles,23.706833362579346kW
2023-03-16T10:00:00-07:00 Los_Angeles,23.639833450317383kW
2023-03-16T11:00:00-07:00 Los_Angeles,23.885499954223633kW
2023-03-16T12:00:00-07:00 Los_Angeles,23.896666049957275kW
2023-03-16T13:00:00-07:00 Los_Angeles,23.952499389648438kW
2023-03-16T14:00:00-07:00 Los_Angeles,23.941332817077637kW
2023-03-16T15:00:00-07:00 Los_Angeles,23.896666049957275kW
2023-03-16T16:00:00-07:00 Los_Angeles,23.952499866485596kW
2023-03-16T17:00:00-07:00 Los_Angeles,24.52199935913086kW
2023-03-16T18:00:00-07:00 Los_Angeles,24.56666612625122kW
2023-03-16T19:00:00-07:00 Los_Angeles,24.55549955368042kW
2023-03-16T20:00:00-07:00 Los_Angeles,23.79616641998291kW
2023-03-16T21:00:00-07:00 Los_Angeles,23.963666915893555kW
2023-03-16T22:00:00-07:00 Los_Angeles,16.917499542236328kW
2023-03-16T23:00:00-07:00 Los_Angeles,0kW
2023-03-17T00:00:00-07:00 Los_Angeles,0kW
2023-03-17T01:00:00-07:00 Los_Angeles,0kW
2023-03-17T02:00:00-07:00 Los_Angeles,0kW
2023-03-17T03:00:00-07:00 Los_Angeles,0kW
2023-03-17T04:00:00-07:00 Los_Angeles,0kW
2023-03-17T05:00:00-07:00 Los_Angeles,0kW
2023-03-17T06:00:00-07:00 Los_Angeles,0kW
2023-03-17T07:00:00-07:00 Los_Angeles,19.407666444778442kW
2023-03-17T08:00:00-07:00 Los_Angeles,23.170833110809326kW
2023-03-17T09:00:00-07:00 Los_Angeles,23.550499439239502kW
2023-03-17T10:00:00-07:00 Los_Angeles,23.628666400909424kW
2023-03-17T11:00:00-07:00 Los_Angeles,23.885499477386475kW
2023-03-17T12:00:00-07:00 Los_Angeles,23.96366596221924kW
2023-03-17T13:00:00-07:00 Los_Angeles,24.175832748413086kW
2023-03-17T14:00:00-07:00 Los_Angeles,24.097666263580322kW
2023-03-17T15:00:00-07:00 Los_Angeles,24.29866600036621kW
2023-03-17T16:00:00-07:00 Los_Angeles,25.772665977478027kW
2023-03-17T17:00:00-07:00 Los_Angeles,25.772666454315186kW
2023-03-17T18:00:00-07:00 Los_Angeles,25.1361665725708kW
2023-03-17T19:00:00-07:00 Los_Angeles,24.5219988822937kW
2023-03-17T20:00:00-07:00 Los_Angeles,23.371832847595215kW
2023-03-17T21:00:00-07:00 Los_Angeles,23.796165943145752kW
2023-03-17T22:00:00-07:00 Los_Angeles,16.895166873931885kW
2023-03-17T23:00:00-07:00 Los_Angeles,0kW
2023-03-18T00:00:00-07:00 Los_Angeles,0kW
2023-03-18T01:00:00-07:00 Los_Angeles,0kW
2023-03-18T02:00:00-07:00 Los_Angeles,0kW
2023-03-18T03:00:00-07:00 Los_Angeles,0kW
2023-03-18T04:00:00-07:00 Los_Angeles,0kW
2023-03-18T05:00:00-07:00 Los_Angeles,0kW
2023-03-18T06:00:00-07:00 Los_Angeles,0kW
2023-03-18T07:00:00-07:00 Los_Angeles,0kW
2023-03-18T08:00:00-07:00 Los_Angeles,0kW
2023-03-18T09:00:00-07:00 Los_Angeles,0kW
2023-03-18T10:00:00-07:00 Los_Angeles,0kW
2023-03-18T11:00:00-07:00 Los_Angeles,0kW
2023-03-18T12:00:00-07:00 Los_Angeles,0kW
2023-03-18T13:00:00-07:00 Los_Angeles,0kW
2023-03-18T14:00:00-07:00 Los_Angeles,0kW
2023-03-18T15:00:00-07:00 Los_Angeles,0kW
2023-03-18T16:00:00-07:00 Los_Angeles,0kW
2023-03-18T17:00:00-07:00 Los_Angeles,0kW
2023-03-18T18:00:00-07:00 Los_Angeles,0kW
2023-03-18T19:00:00-07:00 Los_Angeles,0kW
2023-03-18T20:00:00-07:00 Los_Angeles,0kW
2023-03-18T21:00:00-07:00 Los_Angeles,0kW
2023-03-18T22:00:00-07:00 Los_Angeles,0kW
2023-03-18T23:00:00-07:00 Los_Angeles,0kW
2023-03-19T00:00:00-07:00 Los_Angeles,0kW
2023-03-19T01:00:00-07:00 Los_Angeles,0kW
2023-03-19T02:00:00-07:00 Los_Angeles,0kW
2023-03-19T03:00:00-07:00 Los_Angeles,0kW
2023-03-19T04:00:00-07:00 Los_Angeles,0kW
2023-03-19T05:00:00-07:00 Los_Angeles,0kW
2023-03-19T06:00:00-07:00 Los_Angeles,0kW
2023-03-19T07:00:00-07:00 Los_Angeles,0kW
2023-03-19T08:00:00-07:00 Los_Angeles,0kW
2023-03-19T09:00:00-07:00 Los_Angeles,0kW
2023-03-19T10:00:00-07:00 Los_Angeles,0kW
2023-03-19T11:00:00-07:00 Los_Angeles,0kW
2023-03-19T12:00:00-07:00 Los_Angeles,0kW
2023-03-19T13:00:00-07:00 Los_Angeles,0kW
2023-03-19T14:00:00-07:00 Los_Angeles,0kW
