Timestamp,Bren Hall HVAC Elec Meter hvac elec power
2023-01-04T15:00:00-08:00 Los_Angeles,23.885499477386475kW
2023-01-04T16:00:00-08:00 Los_Angeles,23.628666400909424kW
2023-01-04T17:00:00-08:00 Los_Angeles,23.76266622543335kW
2023-01-04T18:00:00-08:00 Los_Angeles,23.74033260345459kW
2023-01-04T19:00:00-08:00 Los_Angeles,23.137332916259766kW
2023-01-04T20:00:00-08:00 Los_Angeles,23.29366683959961kW
2023-01-04T21:00:00-08:00 Los_Angeles,23.505833625793457kW
2023-01-04T22:00:00-08:00 Los_Angeles,15.73383378982544kW
2023-01-04T23:00:00-08:00 Los_Angeles,0kW
2023-01-05T00:00:00-08:00 Los_Angeles,0kW
2023-01-05T01:00:00-08:00 Los_Angeles,0kW
2023-01-05T02:00:00-08:00 Los_Angeles,0kW
2023-01-05T03:00:00-08:00 Los_Angeles,0kW
2023-01-05T04:00:00-08:00 Los_Angeles,0kW
2023-01-05T05:00:00-08:00 Los_Angeles,0kW
2023-01-05T06:00:00-08:00 Los_Angeles,0kW
2023-01-05T07:00:00-08:00 Los_Angeles,17.062666594982147kW
2023-01-05T08:00:00-08:00 Los_Angeles,24.365666389465332kW
2023-01-05T09:00:00-08:00 Los_Angeles,24.119999408721924kW
2023-01-05T10:00:00-08:00 Los_Angeles,23.818499088287354kW
2023-01-05T11:00:00-08:00 Los_Angeles,24.05299949645996kW
2023-01-05T12:00:00-08:00 Los_Angeles,24.209332942962646kW
2023-01-05T13:00:00-08:00 Los_Angeles,24.354499340057373kW
2023-01-05T14:00:00-08:00 Los_Angeles,24.20933246612549kW
2023-01-05T15:00:00-08:00 Los_Angeles,24.34333324432373kW
2023-01-05T16:00:00-08:00 Los_Angeles,24.30983257293701kW
2023-01-05T17:00:00-08:00 Los_Angeles,24.164666175842285kW
2023-01-05T18:00:00-08:00 Los_Angeles,24.28749942779541kW
2023-01-05T19:00:00-08:00 Los_Angeles,23.46116590499878kW
2023-01-05T20:00:00-08:00 Los_Angeles,23.215500354766846kW
2023-01-05T21:00:00-08:00 Los_Angeles,23.55049991607666kW
2023-01-05T22:00:00-08:00 Los_Angeles,16.705333709716797kW
2023-01-05T23:00:00-08:00 Los_Angeles,0kW
2023-01-06T00:00:00-08:00 Los_Angeles,0kW
2023-01-06T01:00:00-08:00 Los_Angeles,0kW
2023-01-06T02:00:00-08:00 Los_Angeles,0kW
2023-01-06T03:00:00-08:00 Los_Angeles,0kW
2023-01-06T04:00:00-08:00 Los_Angeles,0kW
2023-01-06T05:00:00-08:00 Los_Angeles,0kW
2023-01-06T06:00:00-08:00 Los_Angeles,0kW
2023-01-06T07:00:00-08:00 Los_Angeles,18.681833066046238kW
2023-01-06T08:00:00-08:00 Los_Angeles,24.36566686630249kW
2023-01-06T09:00:00-08:00 Los_Angeles,24.186999320983887kW
2023-01-06T10:00:00-08:00 Los_Angeles,23.874333381652832kW
2023-01-06T11:00:00-08:00 Los_Angeles,23.930166244506836kW
2023-01-06T12:00:00-08:00 Los_Angeles,24.04183292388916kW
2023-01-06T13:00:00-08:00 Los_Angeles,23.9971661567688kW
2023-01-06T14:00:00-08:00 Los_Angeles,23.829666137695312kW
2023-01-06T15:00:00-08:00 Los_Angeles,24.05299949645996kW
2023-01-06T16:00:00-08:00 Los_Angeles,24.186999320983887kW
2023-01-06T17:00:00-08:00 Los_Angeles,24.10883331298828kW
2023-01-06T18:00:00-08:00 Los_Angeles,23.974833011627197kW
2023-01-06T19:00:00-08:00 Los_Angeles,22.19933319091797kW
2023-01-06T20:00:00-08:00 Los_Angeles,23.405333042144775kW
2023-01-06T21:00:00-08:00 Los_Angeles,23.427666187286377kW
2023-01-06T22:00:00-08:00 Los_Angeles,15.744999647140503kW
2023-01-06T23:00:00-08:00 Los_Angeles,0kW
2023-01-07T00:00:00-08:00 Los_Angeles,0kW
2023-01-07T01:00:00-08:00 Los_Angeles,0kW
2023-01-07T02:00:00-08:00 Los_Angeles,0kW
2023-01-07T03:00:00-08:00 Los_Angeles,0kW
2023-01-07T04:00:00-08:00 Los_Angeles,0kW
2023-01-07T05:00:00-08:00 Los_Angeles,0kW
2023-01-07T06:00:00-08:00 Los_Angeles,0kW
2023-01-07T07:00:00-08:00 Los_Angeles,0kW
2023-01-07T08:00:00-08:00 Los_Angeles,0kW
2023-01-07T09:00:00-08:00 Los_Angeles,0kW
2023-01-07T10:00:00-08:00 Los_Angeles,0kW
2023-01-07T11:00:00-08:00 Los_Angeles,0kW
2023-01-07T12:00:00-08:00 Los_Angeles,0kW
2023-01-07T13:00:00-08:00 Los_Angeles,0kW
2023-01-07T14:00:00-08:00 Los_Angeles,0kW
2023-01-07T15:00:00-08:00 Los_Angeles,0kW
2023-01-07T16:00:00-08:00 Los_Angeles,0kW
2023-01-07T17:00:00-08:00 Los_Angeles,0kW
2023-01-07T18:00:00-08:00 Los_Angeles,0kW
2023-01-07T19:00:00-08:00 Los_Angeles,0kW
2023-01-07T20:00:00-08:00 Los_Angeles,0kW
2023-01-07T21:00:00-08:00 Los_Angeles,0kW
2023-01-07T22:00:00-08:00 Los_Angeles,0kW
2023-01-07T23:00:00-08:00 Los_Angeles,0kW
2023-01-08T00:00:00-08:00 Los_Angeles,0kW
2023-01-08T01:00:00-08:00 Los_Angeles,0kW
2023-01-08T02:00:00-08:00 Los_Angeles,0kW
2023-01-08T03:00:00-08:00 Los_Angeles,0kW
2023-01-08T04:00:00-08:00 Los_Angeles,0kW
2023-01-08T05:00:00-08:00 Los_Angeles,0kW
2023-01-08T06:00:00-08:00 Los_Angeles,0kW
2023-01-08T07:00:00-08:00 Los_Angeles,0kW
2023-01-08T08:00:00-08:00 Los_Angeles,0kW
2023-01-08T09:00:00-08:00 Los_Angeles,0kW
2023-01-08T10:00:00-08:00 Los_Angeles,0kW
2023-01-08T11:00:00-08:00 Los_Angeles,0kW
2023-01-08T12:00:00-08:00 Los_Angeles,0kW
2023-01-08T13:00:00-08:00 Los_Angeles,0kW
2023-01-08T14:00:00-08:00 Los_Angeles,0kW
2023-01-08T15:00:00-08:00 Los_Angeles,0kW
2023-01-08T16:00:00-08:00 Los_Angeles,0kW
2023-01-08T17:00:00-08:00 Los_Angeles,0kW
2023-01-08T18:00:00-08:00 Los_Angeles,0kW
2023-01-08T19:00:00-08:00 Los_Angeles,0kW
2023-01-08T20:00:00-08:00 Los_Angeles,0kW
2023-01-08T21:00:00-08:00 Los_Angeles,0kW
2023-01-08T22:00:00-08:00 Los_Angeles,0kW
2023-01-08T23:00:00-08:00 Los_Angeles,1.965333342552185kW
2023-01-09T00:00:00-08:00 Los_Angeles,0kW
2023-01-09T01:00:00-08:00 Los_Angeles,0kW
2023-01-09T02:00:00-08:00 Los_Angeles,1.965333342552185kW
2023-01-09T03:00:00-08:00 Los_Angeles,0kW
2023-01-09T04:00:00-08:00 Los_Angeles,0kW
2023-01-09T05:00:00-08:00 Los_Angeles,0kW
2023-01-09T06:00:00-08:00 Los_Angeles,0kW
2023-01-09T07:00:00-08:00 Los_Angeles,19.7538333684206kW
2023-01-09T08:00:00-08:00 Los_Angeles,24.254000186920166kW
2023-01-09T09:00:00-08:00 Los_Angeles,23.896666049957275kW
2023-01-09T10:00:00-08:00 Los_Angeles,23.673332691192627kW
2023-01-09T11:00:00-08:00 Los_Angeles,23.394165992736816kW
2023-01-09T12:00:00-08:00 Los_Angeles,23.695666790008545kW
2023-01-09T13:00:00-08:00 Los_Angeles,23.807332515716553kW
2023-01-09T14:00:00-08:00 Los_Angeles,23.77383327484131kW
2023-01-09T15:00:00-08:00 Los_Angeles,23.71799945831299kW
2023-01-09T16:00:00-08:00 Los_Angeles,23.75149917602539kW
2023-01-09T17:00:00-08:00 Los_Angeles,23.71799945831299kW
2023-01-09T18:00:00-08:00 Los_Angeles,23.81850004196167kW
2023-01-09T19:00:00-08:00 Los_Angeles,23.249000072479248kW
2023-01-09T20:00:00-08:00 Los_Angeles,23.438833236694336kW
2023-01-09T21:00:00-08:00 Los_Angeles,23.81850004196167kW
2023-01-09T22:00:00-08:00 Los_Angeles,17.844333171844482kW
2023-01-09T23:00:00-08:00 Los_Angeles,0kW
2023-01-10T00:00:00-08:00 Los_Angeles,0kW
2023-01-10T01:00:00-08:00 Los_Angeles,0kW
2023-01-10T02:00:00-08:00 Los_Angeles,0kW
2023-01-10T03:00:00-08:00 Los_Angeles,0kW
2023-01-10T04:00:00-08:00 Los_Angeles,0kW
2023-01-10T05:00:00-08:00 Los_Angeles,0kW
2023-01-10T06:00:00-08:00 Los_Angeles,0kW
2023-01-10T07:00:00-08:00 Los_Angeles,21.272500038146973kW
2023-01-10T08:00:00-08:00 Los_Angeles,24.555500030517578kW
2023-01-10T09:00:00-08:00 Los_Angeles,24.454999923706055kW
2023-01-10T10:00:00-08:00 Los_Angeles,24.242833137512207kW
2023-01-10T11:00:00-08:00 Los_Angeles,24.365665912628174kW
2023-01-10T12:00:00-08:00 Los_Angeles,24.343332767486572kW
2023-01-10T13:00:00-08:00 Los_Angeles,24.35449981689453kW
2023-01-10T14:00:00-08:00 Los_Angeles,24.454999923706055kW
2023-01-10T15:00:00-08:00 Los_Angeles,24.600165843963623kW
2023-01-10T16:00:00-08:00 Los_Angeles,24.700666427612305kW
2023-01-10T17:00:00-08:00 Los_Angeles,24.711832523345947kW
2023-01-10T18:00:00-08:00 Los_Angeles,24.6560001373291kW
2023-01-10T19:00:00-08:00 Los_Angeles,22.19933319091797kW
2023-01-10T20:00:00-08:00 Los_Angeles,23.651000022888184kW
2023-01-10T21:00:00-08:00 Los_Angeles,23.907833099365234kW
2023-01-10T22:00:00-08:00 Los_Angeles,15.990666389465332kW
2023-01-10T23:00:00-08:00 Los_Angeles,0kW
2023-01-11T00:00:00-08:00 Los_Angeles,0kW
2023-01-11T01:00:00-08:00 Los_Angeles,0kW
2023-01-11T02:00:00-08:00 Los_Angeles,0kW
2023-01-11T03:00:00-08:00 Los_Angeles,0kW
2023-01-11T04:00:00-08:00 Los_Angeles,0kW
2023-01-11T05:00:00-08:00 Los_Angeles,0kW
2023-01-11T06:00:00-08:00 Los_Angeles,0kW
2023-01-11T07:00:00-08:00 Los_Angeles,17.643333286046982kW
2023-01-11T08:00:00-08:00 Los_Angeles,24.410333156585693kW
2023-01-11T09:00:00-08:00 Los_Angeles,24.443833351135254kW
2023-01-11T10:00:00-08:00 Los_Angeles,23.941332817077637kW
2023-01-11T11:00:00-08:00 Los_Angeles,23.986000061035156kW
2023-01-11T12:00:00-08:00 Los_Angeles,24.466166019439697kW
2023-01-11T13:00:00-08:00 Los_Angeles,24.488499641418457kW
2023-01-11T14:00:00-08:00 Los_Angeles,24.432666301727295kW
2023-01-11T15:00:00-08:00 Los_Angeles,24.745332717895508kW
2023-01-11T16:00:00-08:00 Los_Angeles,24.979832649230957kW
2023-01-11T17:00:00-08:00 Los_Angeles,24.57783317565918kW
2023-01-11T18:00:00-08:00 Los_Angeles,24.856999397277832kW
2023-01-11T19:00:00-08:00 Los_Angeles,23.907833099365234kW
