Timestamp,Bren Hall HVAC Elec Meter hvac elec power
2022-01-05T06:00:00-08:00 Los_Angeles,0kW
2022-01-05T07:00:00-08:00 Los_Angeles,20.702999711036682kW
2022-01-05T08:00:00-08:00 Los_Angeles,22.76883316040039kW
2022-01-05T09:00:00-08:00 Los_Angeles,22.020666122436523kW
2022-01-05T10:00:00-08:00 Los_Angeles,22.087666511535645kW
2022-01-05T11:00:00-08:00 Los_Angeles,23.05916690826416kW
2022-01-05T12:00:00-08:00 Los_Angeles,23.26016664505005kW
2022-01-05T13:00:00-08:00 Los_Angeles,23.371833324432373kW
2022-01-05T14:00:00-08:00 Los_Angeles,23.662166595458984kW
2022-01-05T15:00:00-08:00 Los_Angeles,23.740333557128906kW
2022-01-05T16:00:00-08:00 Los_Angeles,23.628665924072266kW
2022-01-05T17:00:00-08:00 Los_Angeles,23.494666576385498kW
2022-01-05T18:00:00-08:00 Los_Angeles,23.371833324432373kW
2022-01-05T19:00:00-08:00 Los_Angeles,23.371833324432373kW
2022-01-05T20:00:00-08:00 Los_Angeles,23.405333042144775kW
2022-01-05T21:00:00-08:00 Los_Angeles,23.30483341217041kW
2022-01-05T22:00:00-08:00 Los_Angeles,14.550166845321655kW
2022-01-05T23:00:00-08:00 Los_Angeles,0kW
2022-01-06T00:00:00-08:00 Los_Angeles,0kW
2022-01-06T01:00:00-08:00 Los_Angeles,0kW
2022-01-06T02:00:00-08:00 Los_Angeles,0kW
2022-01-06T03:00:00-08:00 Los_Angeles,0kW
2022-01-06T04:00:00-08:00 Los_Angeles,0kW
2022-01-06T05:00:00-08:00 Los_Angeles,0kW
2022-01-06T06:00:00-08:00 Los_Angeles,0kW
2022-01-06T07:00:00-08:00 Los_Angeles,21.38416638970375kW
2022-01-06T08:00:00-08:00 Los_Angeles,23.37183380126953kW
2022-01-06T09:00:00-08:00 Los_Angeles,22.88050079345703kW
2022-01-06T10:00:00-08:00 Los_Angeles,21.97600030899048kW
2022-01-06T11:00:00-08:00 Los_Angeles,22.969833374023438kW
2022-01-06T12:00:00-08:00 Los_Angeles,23.148499965667725kW
2022-01-06T13:00:00-08:00 Los_Angeles,23.394166469573975kW
2022-01-06T14:00:00-08:00 Los_Angeles,23.79616641998291kW
2022-01-06T15:00:00-08:00 Los_Angeles,23.99716567993164kW
2022-01-06T16:00:00-08:00 Los_Angeles,23.974833488464355kW
2022-01-06T17:00:00-08:00 Los_Angeles,23.78499984741211kW
2022-01-06T18:00:00-08:00 Los_Angeles,23.550499439239502kW
2022-01-06T19:00:00-08:00 Los_Angeles,23.606332778930664kW
2022-01-06T20:00:00-08:00 Los_Angeles,23.371833324432373kW
2022-01-06T21:00:00-08:00 Los_Angeles,23.539332389831543kW
2022-01-06T22:00:00-08:00 Los_Angeles,15.890166759490967kW
2022-01-06T23:00:00-08:00 Los_Angeles,0kW
2022-01-07T00:00:00-08:00 Los_Angeles,0kW
2022-01-07T01:00:00-08:00 Los_Angeles,0kW
2022-01-07T02:00:00-08:00 Los_Angeles,0kW
2022-01-07T03:00:00-08:00 Los_Angeles,0kW
2022-01-07T04:00:00-08:00 Los_Angeles,0kW
2022-01-07T05:00:00-08:00 Los_Angeles,0kW
